test_id,source_group,kind,default_stage,applicability_decision,reason,status,evidence_path
GEN-058,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-059,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-060,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-061,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-062,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-063,General,atomic-security,17-RECOVERY-OBSERVABILITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-064,General,atomic-security,04-BUILD-ARTIFACT-DEPLOYMENT,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-065,General,atomic-security,04-BUILD-ARTIFACT-DEPLOYMENT,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-066,General,atomic-security,04-BUILD-ARTIFACT-DEPLOYMENT,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-067,General,atomic-security,04-BUILD-ARTIFACT-DEPLOYMENT,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-068,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-069,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-070,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-071,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-072,General,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-073,General,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-074,General,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-075,General,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-076,General,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-077,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-078,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-079,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-080,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-081,General,atomic-security,04-BUILD-ARTIFACT-DEPLOYMENT,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-082,General,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-083,General,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-084,General,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-085,General,atomic-security,04-BUILD-ARTIFACT-DEPLOYMENT,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-086,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-087,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-088,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-089,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-090,General,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-091,General,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-092,General,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-093,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-094,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-095,General,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-096,General,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-097,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-098,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-099,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-100,General,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-101,General,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-102,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-103,General,atomic-security,19-EXTERNAL-HUMAN,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-104,General,atomic-security,11-FORMAL-PROPERTY-REGRESSION,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-105,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-106,General,atomic-security,11-FORMAL-PROPERTY-REGRESSION,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-107,General,atomic-security,11-FORMAL-PROPERTY-REGRESSION,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-108,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-109,General,atomic-security,11-FORMAL-PROPERTY-REGRESSION,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-110,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-111,General,atomic-security,17-RECOVERY-OBSERVABILITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-112,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-113,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-114,General,atomic-security,15-17-PERFORMANCE-STRESS-RECOVERY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-115,General,atomic-security,15-17-PERFORMANCE-STRESS-RECOVERY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-116,General,atomic-security,04-BUILD-ARTIFACT-DEPLOYMENT,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-117,General,atomic-security,04-BUILD-ARTIFACT-DEPLOYMENT,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-118,General,atomic-security,17-RECOVERY-OBSERVABILITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-119,General,atomic-security,17-RECOVERY-OBSERVABILITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-120,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-121,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
GEN-122,General,atomic-security,12-DYNAMIC-SECURITY,EVALUATE_AT_V003,Apply after repository/capability discovery; registry ID remains mandatory for accounting.,PENDING,
HIPAA-001,HIPAA,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-002,HIPAA,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-003,HIPAA,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-004,HIPAA,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-005,HIPAA,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-006,HIPAA,atomic-security,12-DYNAMIC-SECURITY,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-007,HIPAA,atomic-security,12-DYNAMIC-SECURITY,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-008,HIPAA,atomic-security,12-DYNAMIC-SECURITY,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-009,HIPAA,atomic-security,12-DYNAMIC-SECURITY,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-010,HIPAA,atomic-security,12-DYNAMIC-SECURITY,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-011,HIPAA,atomic-security,12-DYNAMIC-SECURITY,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-012,HIPAA,atomic-security,12-DYNAMIC-SECURITY,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-013,HIPAA,atomic-security,12-DYNAMIC-SECURITY,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-014,HIPAA,atomic-security,12-DYNAMIC-SECURITY,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-015,HIPAA,atomic-security,12-DYNAMIC-SECURITY,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-016,HIPAA,atomic-security,12-DYNAMIC-SECURITY,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-017,HIPAA,atomic-security,12-DYNAMIC-SECURITY,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-018,HIPAA,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-019,HIPAA,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-020,HIPAA,atomic-security,12-DYNAMIC-SECURITY,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-021,HIPAA,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-022,HIPAA,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-023,HIPAA,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-024,HIPAA,atomic-security,12-DYNAMIC-SECURITY,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-025,HIPAA,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-026,HIPAA,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-027,HIPAA,atomic-security,03-STATIC-DESIGN-SUPPLY-CHAIN,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-028,HIPAA,atomic-security,12-DYNAMIC-SECURITY,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-029,HIPAA,atomic-security,04-BUILD-ARTIFACT-DEPLOYMENT,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-030,HIPAA,atomic-security,12-DYNAMIC-SECURITY,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-031,HIPAA,atomic-security,04-BUILD-ARTIFACT-DEPLOYMENT,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-032,HIPAA,atomic-security,04-BUILD-ARTIFACT-DEPLOYMENT,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-033,HIPAA,atomic-security,04-BUILD-ARTIFACT-DEPLOYMENT,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-034,HIPAA,atomic-security,04-BUILD-ARTIFACT-DEPLOYMENT,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-035,HIPAA,atomic-security,04-BUILD-ARTIFACT-DEPLOYMENT,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-036,HIPAA,atomic-security,12-DYNAMIC-SECURITY,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-037,HIPAA,atomic-security,12-DYNAMIC-SECURITY,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
HIPAA-038,HIPAA,atomic-security,12-DYNAMIC-SECURITY,SKIPPED_NOT_APPLICABLE,Project VECTOR is not designed to process regulated clinical PHI; V-003 must verify scope before final accounting.,PENDING,
