requirement_id,requirement,status,outcome,entrypoint,evidence_path,artifact_digest
REQ-042,all core study functions with network disabled,DONE_CORE_CLASSIFICATION_ENFORCED,,,,
REQ-043,spaced repetition FSRS-compatible review engine,DONE_FSRS_ENGINE,,,,
REQ-044,local FTS across lessons/errors/evidence,DONE_LOCAL_SEARCH,,,,
REQ-045,optional goals/streaks/achievements separate from mastery,DONE_SEPARATION_ENFORCED_NO_MOTIVATION_TERM_IN_MASTERY,,,,
REQ-046,no behavioral ads/data brokerage,DONE_EGRESS_CLASSIFIER_NO_AD_DESTINATIONS,,,,
REQ-047,signed/datable adapter disable policy,DONE_POLICY_GATE_AND_EGRESS_CONSTRAINT,,,,
REQ-048,"review state, history, rollback, audit",DONE_CONTENT_QA_LEDGER,,,,
REQ-049,"internal calibration, no official psychometric equivalence claim",DONE_INTERNAL_CALIBRATION_NO_EQUIVALENCE_CLAIM,,,,
REQ-050,"sandbox parsing, license/trust checks, prompt-injection isolation",DONE_INGESTION_SANDBOX,,,,
REQ-051,crash-loop recovery without deleting learner data,DONE_SAFE_MODE_NON_DESTRUCTIVE_LADDER,,,,
REQ-052,"telemetry off, no sensitive enlistment-screening data",DONE_TELEMETRY_OFF_AND_SCREENING_PROHIBITED,,,,
REQ-053,Artifact identity bind binary+migrations+content+SBOM,DONE_SIX_COMPONENT_IDENTITY_LIVEFIRED,,,,
REQ-054,idempotent attempts and safe DB/background workers,DONE_WORKER_POOL_AND_CONCURRENT_WRITER_PROOF,,,,
REQ-055,optional user-entered official scores clearly typed as external,DONE_EXTERNAL_SCORE_TYPING,,,,
REQ-056,every active item has objective/source/proof/review/hash,DONE_ITEM_PROVENANCE_AND_LIFECYCLE,,,,
REQ-057,prompt egress classification and disclosure,DONE_EGRESS_CLASSIFIER_AND_EVENT_CLASSES,,,,
REQ-058,adapter support fails closed on stale policy evidence,DONE_FAILS_CLOSED_AND_TESTED,,,,
REQ-059,future sync seam disabled SyncPort without cloud dependency,DONE_SYNCPORT_DISABLED,,,,
REQ-060,working title requires trademark/name clearance before GA,BLOCKED_EXTERNAL_LEGAL_CLEARANCE_REQUIRED,,,,
